id,controle,familia,feature,transporte,aparelho_aceita,aparelho_confianca,aparelho_evidencia,hefesto_aciona,codigo_ref,canal,comando,report_id,offset,detalhe,teste_que_morde,mordida,mordida_provada_em,grau,provado_em,provado_por,validade_dias,assimetria_declarada,estado_hoje,ressalva
sn30.sticks_anal_gicos.bluetooth,sn30,entrada,Sticks analógicos,bluetooth,parcial,inferido-do-codigo,,não,assets/dkms/hid-nintendo/hid-nintendo.c:2261-2290,evdev,"idêntico ao cabo (ABS_X/Y/RX/RY ±32767); a instabilidade é do link, não do eixo",,,,,,,,,,,,,
sn30.gatilhos_anal_gicos_zl_zr_com_curso.nenhum,sn30,gatilho,Gatilhos ANALÓGICOS (ZL/ZR com curso),nenhum,não,inferido-do-codigo,,não,assets/dkms/hid-nintendo/hid-nintendo.c:502-503,evdev,"não existe: no protocolo Switch ZL/ZR são bits, mapeados como BTN_TL2/BTN_TR2 (digitais). Não há ABS_Z/ABS_RZ no nó de gamepad",,,,,,,,,,,,,"ABS_Z/ABS_RZ existem apenas no nó de IMU, e ali são acelerômetro/giroscópio — não confundir."
sn30.rumble_motor_esquerdo_strong_direito_weak.usb,sn30,vibracao,"Rumble (motor esquerdo = strong, direito = weak)",usb,sim,inferido-do-codigo,,não,"assets/dkms/hid-nintendo/hid-nintendo.c:2044-2077, :2244-2257, :2318-2330",evdev,"evdev force feedback: `ioctl(EVIOCSFF)` com FF_RUMBLE + evento de play no nó de gamepad → o driver monta o output report 0x10 (`JC_OUTPUT_RUMBLE_ONLY`), reenviado a cada 50 ms enquanto o efeito dura, e 5 pacotes de amplitude zero para parar",0x10 (saída),,Cada pacote passa pelo `joycon_enforce_subcmd_rate`: por USB o intervalo mínimo é 20 ms (`JC_SUBCMD_RATE_LIMITER_USB_MS`).,,,,,,,,,,Exige `CONFIG_NINTENDO_FF` — o Makefile do DKMS replica `-DCONFIG_NINTENDO_FF=1`; sem isso o rumble sumiria.
sn30.rumble_motor_esquerdo_e_direito.bluetooth,sn30,vibracao,Rumble (motor esquerdo e direito),bluetooth,parcial,inferido-do-codigo,,não,assets/dkms/hid-nintendo/hid-nintendo.c:968-1047; assets/modprobe.d/hefesto-hid-nintendo.conf,evdev,"mesmo caminho (FF_RUMBLE → report 0x10), mas o intervalo mínimo entre pacotes sobe para 60 ms (`JC_SUBCMD_RATE_LIMITER_BT_MS`) e cada pacote espera janela de TX; com `skip_tx_on_rate_exceeded=1` (ligado nesta casa) o pacote é DESCARTADO em vez de transmitido fora de ritmo",0x10 (saída),,É exatamente esse laço que produz o `exceeded max attempts` da morte por BT: rumble e LED disputam a mesma fila de subcomando.,,,,,,,,,,"Se o controle estiver mudo, `subcmd_silence_streak_max=3` faz o subcomando falhar em microssegundos em vez de segurar o mutex por dezenas de segundos."
sn30.rumble_hd_controle_de_frequ_ncia_por_motor_4.usb,sn30,vibracao,Rumble HD — controle de FREQUÊNCIA por motor (41–1253 Hz),usb,sim,inferido-do-codigo,,não,"assets/dkms/hid-nintendo/hid-nintendo.c:277-337, :2162-2186, :2318-2322",hidraw,"aparelho/protocolo aceitam: a tabela `joycon_rumble_frequencies` vai de 41 a 1253 Hz e o clamp é baixa 41–626 Hz, alta 82–1253 Hz. Só alcançável escrevendo o report 0x10 CRU no /dev/hidrawN — o Linux expõe apenas FF_RUMBLE (strong/weak)",0x10 (saída),,O driver prende as frequências nos defaults 160 Hz (baixa) e 320 Hz (alta) — `JC_RUMBLE_DFLT_LOW_FREQ`/`_HIGH_FREQ`. Nada em espaço de usuário chega às frequências pelo evdev.,,,,,,,,,,SEM PROVA de que o SN30 Pro tenha atuadores lineares (HD real) e não motores ERM comuns; ninguém mediu aqui.
sn30.rumble_hd_controle_de_frequ_ncia_por_motor.bluetooth,sn30,vibracao,Rumble HD — controle de FREQUÊNCIA por motor,bluetooth,sim,inferido-do-codigo,,não,"assets/dkms/hid-nintendo/hid-nintendo.c:277-337, :968-1047",hidraw,"idêntico (report 0x10 cru no hidraw), com o custo de 60 ms por pacote do rate limiter de BT",0x10 (saída),,,,,,,,,,,,Escrever hidraw cru por rádio neste firmware é o gesto que a casa mediu como letal (bombardeio de subcomando).
sn30.rumble_do_jogo_roteado_pelo_hefesto_para_est.usb,sn30,vibracao,Rumble do JOGO roteado pelo Hefesto para este controle,usb,sim,inferido-do-codigo,,não,src/hefesto_dualsense4unix/daemon/subsystems/coop.py:304-380,evdev,"não há: o Hefesto só roteia rumble para um handle do backend pydualsense (DualSense). O jogo alcança este controle direto pelo evdev/FF do kernel, sem o Hefesto no meio",,,"O co-op só cria jogador secundário a partir de `discover_dualsense_evdevs()` — externo nunca vira jogador, nunca ganha vpad, nunca é agarrado (EVIOCGRAB).",,,,,,,,,,"Os comentários de coop.py sobre 'externo sem handle cai no broadcast' descrevem uma defesa, não um caminho vivo para este controle."
sn30.rumble_do_jogo_roteado_pelo_hefesto_para_est.bluetooth,sn30,vibracao,Rumble do JOGO roteado pelo Hefesto para este controle,bluetooth,sim,inferido-do-codigo,,não,src/hefesto_dualsense4unix/daemon/subsystems/coop.py:304-380,evdev,idem: o Hefesto não participa; o caminho é jogo → evdev FF → hid-nintendo → report 0x10,,,,,,,,,,,,,
sn30.led_de_jogador_as_4_l_mpadas_verdes.usb,sn30,luz,LED de jogador — as 4 lâmpadas verdes,usb,sim,inferido-do-codigo,"`EXTERNAL_PLAYER_LED_ENABLED = False` (external_identity.py:194) — decisão dela de 07/08/2026: zero escritas, sem apagar",não,"assets/dkms/hid-nintendo/hid-nintendo.c:1219-1230, :2536-2555; src/hefesto_dualsense4unix/core/external_leds.py:98-134",sysfs,"`echo 0|1 > /sys/class/leds/<inst>:green:player-{1..4}/brightness` (inst = `0003:057E:2009.XXXX`, `max_brightness=1`). Cada escrita recompõe o bitmap dos quatro e emite UM subcomando 0x30 (SET_PLAYER_LIGHTS), payload de 1 byte `(flash<<4)|on`","saída 0x01, subcmd 0x30",,A regra `assets/79-external-controller-leds.rules` faz `chmod 0666` no `brightness` de `*057E:*:green:player-*` — é o que torna a escrita possível sem sudo. O Hefesto INSTALA a regra e hoje NÃO escreve nada.,,,,,,,,,,Uma chamada de `write_player_number` custa 5 escritas de sysfs = 5 subcomandos (4 verdes redundantes + 1 azul). Foi a origem medida do bombardeio.
sn30.led_de_jogador_as_4_l_mpadas_verdes.bluetooth,sn30,luz,LED de jogador — as 4 lâmpadas verdes,bluetooth,parcial,medido,src/hefesto_dualsense4unix/core/external_leds.py:198-260 (nota datada de 07/08/2026),não,"assets/dkms/hid-nintendo/hid-nintendo.c:968-1047, :2536-2555",sysfs,"mesmo caminho sysfs → subcomando 0x30, mas cada subcomando paga o rate limiter de 60 ms + janela de TX; com o firmware clone é onde as recusas `-110`/`ETIMEDOUT` aparecem","saída 0x01, subcmd 0x30",,"Medido em 07/08 no Pro genuíno: 3 de 5 escritas falharam com `-110` e o leitor de sysfs continuou mostrando o padrão PEDIDO — o `brightness` guarda o pedido, nunca reverte na falha.",,,,,,,,,,"Não existe, em ponto nenhum da árvore, caminho que saiba que uma escrita de player-LED falhou."
sn30.led_home_n_blue_player_5_brilho_0_15.usb,sn30,luz,"LED HOME (nó `:blue:player-5`, brilho 0–15)",usb,desconhecido,inferido-do-codigo,,não,"assets/dkms/hid-nintendo/hid-nintendo.c:1232-1249, :2573-2588",sysfs,"`echo 0..15 > /sys/class/leds/<inst>:blue:player-5/brightness` → subcomando 0x38 (SET_HOME_LIGHT), 5 bytes `01, b<<4, b|(b<<4), 0x11, 0x11`. É subcomando SEPARADO do dos verdes","saída 0x01, subcmd 0x38",,"O nó é registrado sempre que `jc_type_has_right` (verdadeiro para o tipo PRO, que é o que o clone vira pelo PID) — a EXISTÊNCIA do nó não prova que há lâmpada Home no plástico do SN30 Pro.",,,,,,,,,,"DEFEITO CONHECIDO do Hefesto: `write_player_number` escreve `1` neste nó como bit '+5' da numeração, quando ele é o LED HOME de escala 0–15. GRAU ALTA de que está errado; hoje calado pelo portão. Não voltar sem corrigir."
sn30.led_home_n_blue_player_5_brilho_0_15.bluetooth,sn30,luz,"LED HOME (nó `:blue:player-5`, brilho 0–15)",bluetooth,desconhecido,inferido-do-codigo,,não,assets/dkms/hid-nintendo/hid-nintendo.c:1232-1249,sysfs,"mesmo nó e mesmo subcomando 0x38, com o rate limiter de 60 ms","saída 0x01, subcmd 0x38",,,,,,,,,,,,"Idem: nó registrado por tipo, não por hardware. Sem medição do plástico."
sn30.pisca_de_led_em_hardware_nibble_flash_do_sub.ambos,sn30,luz,Pisca de LED em HARDWARE (nibble `flash` do subcomando 0x30),ambos,sim,inferido-do-codigo,,não,assets/dkms/hid-nintendo/hid-nintendo.c:1219-1230,hidraw,"o protocolo aceita `(flash<<4)|on`, mas o driver SEMPRE manda `flash = 0` — não há caminho em sysfs para pedir pisca. Só por hidraw cru","saída 0x01, subcmd 0x30",,Comportamento idêntico nos dois transportes; muda só o custo do rate limiter.,,,,,,,,,,
sn30.padr_o_de_jogador_que_o_driver_acende_sozinh.ambos,sn30,plataforma,Padrão de jogador que o DRIVER acende sozinho na probe,ambos,sim,inferido-do-codigo,docs/process/sprints/2026-08-08-SEGUNDO-ESCRITOR-01-o-driver-do-kernel-tambem-escreve-a-barra.md,não,assets/dkms/hid-nintendo/hid-nintendo.c:2512-2555,sysfs,"`joycon_leds_create` aloca um id num IDA global, usa `player_id % 8` na tabela oficial da Nintendo e loga `assigned player N led pattern` — antes de qualquer escrita nossa","saída 0x01, subcmd 0x30",,"Não existe estado 'sem número' neste controle: o kernel é um SEGUNDO ESCRITOR. Qualquer detector que compare o aparelho contra 'o que nós escrevemos' vai achar, após cada conexão, um padrão que nós não escrevemos.",,,,,,,,,,
sn30.girosc_pio.usb,sn30,movimento,Giroscópio,usb,sim,inferido-do-codigo,,não,"assets/dkms/hid-nintendo/hid-nintendo.c:243-261, :2333-2392",evdev,"nó evdev SEPARADO, nomeado `<nome> (IMU)`: ABS_RX/ABS_RY/ABS_RZ, faixa ±32767000, `resolution = 14247` (= 14,247 LSB por grau/s, escala ×1000), mais MSC_TIMESTAMP. 3 amostras por relatório de entrada 0x30",entrada 0x30,ABS_RX/RY/RZ do nó (IMU),Escala DIFERENTE do DualSense (1024 LSB/(°/s)): comparar eixos sem converter erra por ~14x no giroscópio e 2x no acelerômetro (4096 vs 8192 LSB/g).,,,,,,,,,,"O nó é criado sob `joycon_has_imu(tipo PRO)`, sem perguntar ao aparelho — a existência do nó NÃO prova o sensor."
sn30.girosc_pio.bluetooth,sn30,movimento,Giroscópio,bluetooth,sim,medido,,não,assets/dkms/hid-nintendo/hid-nintendo.c:2333-2392; docs/protocol/externos-referencia-canonica.md:347-372,evdev,"mesmo nó `(IMU)`, mesmos eixos e mesma escala; a perda de amostras é do rádio",entrada 0x30,,"Medição de taxa (feita no Pro GENUÍNO, não neste controle): 89,2 relatórios/s = 11,2 ms, 268 amostras/s — 36% mais rápido que o default `JC_IMU_DFLT_AVG_DELTA_MS=15` que o driver usa até corrigir sozinho após 300 amostras.",,,,,,,,,,"O contador de perda só avisa acima de 3 relatórios seguidos (`>` e não `>=`), e conta RELATÓRIOS, não amostras: a perda real é maior que a medida, por construção."
sn30.aceler_metro.usb,sn30,movimento,Acelerômetro,usb,sim,inferido-do-codigo,,não,"assets/dkms/hid-nintendo/hid-nintendo.c:229-239, :2362-2373",evdev,"mesmo nó `(IMU)`: ABS_X/ABS_Y/ABS_Z, ±32767, `resolution = 4096` LSB/g (faixa ±8 g)",entrada 0x30,ABS_X/Y/Z do nó (IMU),,,,,,,,,,,
sn30.aceler_metro.bluetooth,sn30,movimento,Acelerômetro,bluetooth,sim,inferido-do-codigo,,não,assets/dkms/hid-nintendo/hid-nintendo.c:2362-2373,evdev,"idêntico ao cabo (ABS_X/Y/Z, 4096 LSB/g), sujeito à perda de relatórios do rádio",entrada 0x30,,,,,,,,,,,,
sn30.ligar_a_imu_subcomando_0x40_arg_0x01.usb,sn30,movimento,Ligar a IMU (subcomando 0x40 / arg 0x01),usb,sim,inferido-do-codigo,,não,"src/hefesto_dualsense4unix/daemon/subsystems/external_identity.py:196-212, :899-902; core/external_leds.py:155-192",hidraw,"o DRIVER já o envia no probe, dentro de `joycon_init`, sob `joycon_has_imu(ctlr)` — SEM porteiro de barramento. O Hefesto tem um duplicado (`enable_imu`: 12 bytes `01 <pkt> <8B rumble neutro> 40 01` no /dev/hidrawN) que NUNCA dispara neste controle","saída 0x01, subcmd 0x40",,"O gatilho do Hefesto é `key[:6] != NINTENDO_REAL_OUI` (`e0f6b5`, o Pro GENUÍNO) e `bus == 'usb'`. O 8BitDo tem OUI `e4:17:d8` (ou identidade sintética no cabo degradado) — nunca casa.",,,,,,,,,,"O próprio comentário do código diz por quê: 'NÃO confundir com o 8BitDo em modo Switch (mesmo VID/PID 057e:2009, IMU nativa já viva — nada a fazer nele)'. Isso é AFIRMAÇÃO do código, não medição."
sn30.ligar_a_imu_subcomando_0x40_arg_0x01.bluetooth,sn30,movimento,Ligar a IMU (subcomando 0x40 / arg 0x01),bluetooth,sim,inferido-do-codigo,,não,assets/dkms/hid-nintendo/hid-nintendo.c:2925-2947; src/hefesto_dualsense4unix/daemon/subsystems/external_identity.py:205,hidraw,o driver envia no probe também por rádio (sem porteiro de bus); o duplicado do Hefesto é bloqueado por `_IMU_ENABLE_ALLOWED_BUS = 'usb'` além do gate de OUI,"saída 0x01, subcmd 0x40",,"Com `usb_probe_degrade` ligado (só USB), a falha do 0x40 vira aviso `continuing without motion` em vez de matar a probe — por BT ela ainda mata.",,,,,,,,,,
sn30.calibra_o_de_f_brica_da_imu.ambos,sn30,movimento,Calibração de fábrica da IMU,ambos,desconhecido,afirmado-no-doc,docs/usage/troubleshooting-8bitdo.md:35-37 cita `using factory cal for IMU` como PROVA de que o gyro do SN30 Pro é real,não,"assets/dkms/hid-nintendo/hid-nintendo.c:203-212, :1483-1490",hidraw,subcomando 0x10 (SPI_FLASH_READ) em `0x6020..0x6037` (24 bytes); calibração de usuária em `0x8026` (mágico) / `0x8028` (dados). Log de sucesso: `using factory cal for IMU`,"saída 0x01, subcmd 0x10; resposta no 0x21",,"É o OPOSTO do DualSense, onde a calibração é o feature report 0x05 de 41 bytes.",,,,,,,,,,"Essa citação aparece em UM único arquivo do repositório, sem sprint/estudo que registre a medição — e o Pro genuíno emite a MESMA linha. Grau honesto: afirmação do doc."
sn30.calibra_o_de_f_brica_dos_sticks.ambos,sn30,entrada,Calibração de fábrica dos sticks,ambos,desconhecido,inferido-do-codigo,,não,"assets/dkms/hid-nintendo/hid-nintendo.c:185-212, :1251-1300, :2913-2923",hidraw,subcomando 0x10 em `0x603d` (esquerdo) e `0x6046` (direito); calibração de usuária em `0x8010`/`0x801B` com mágico `0xB2 0xA1`. Falha vira aviso `Analog stick positions may be inaccurate`,"saída 0x01, subcmd 0x10",,,,,,,,,,,,
sn30.bateria_n_vel_em_cinco_degraus.usb,sn30,energia,Bateria — nível em CINCO degraus,usb,sim,inferido-do-codigo,,não,"assets/dkms/hid-nintendo/hid-nintendo.c:1843-1878, :2654-2680",sysfs,`cat /sys/class/power_supply/nintendo_switch_controller_battery_<inst>/capacity_level` → Critical|Low|Normal|High|Full. Origem: nibble alto (>>5) do byte `bat_con` do relatório 0x30,entrada 0x30,"bat_con: bit0 = alimentado pelo host, bit4 = carregando, >>5 = nível","As propriedades são só PRESENT, CAPACITY_LEVEL, SCOPE e STATUS — `capacity` NÃO existe. Um amostrador que leia `capacity` grava AUSENTE a noite inteira.",,,,,,,,,,No cabo o `status` tende a Charging/Full por `host_powered`.
sn30.bateria_n_vel_em_cinco_degraus.bluetooth,sn30,energia,Bateria — nível em CINCO degraus,bluetooth,sim,inferido-do-codigo,,não,assets/dkms/hid-nintendo/hid-nintendo.c:1843-1878,sysfs,mesmo nó `power_supply` e mesmo byte `bat_con` do 0x30 — só existe enquanto houver relatório de entrada chegando,entrada 0x30,,"Se o controle vira zumbi (link de pé, sem relatório), o valor congela no último lido.",,,,,,,,,,
sn30.bateria_porcentagem.nenhum,sn30,energia,Bateria — PORCENTAGEM,nenhum,não,inferido-do-codigo,,não,assets/dkms/hid-nintendo/hid-nintendo.c:2654-2659,sysfs,não existe: `POWER_SUPPLY_PROP_CAPACITY` não está no vetor de propriedades do driver,,,,,,,,,,,,,Régua INCOMPARÁVEL com a do DualSense/DS4 (percentual). Não somar nem comparar as duas.
sn30.bateria_lida_pelo_hefesto.ambos,sn30,energia,Bateria lida pelo Hefesto,ambos,sim,inferido-do-codigo,,não,src/hefesto_dualsense4unix/daemon/battery_journal.py:89-93,sysfs,não há: o diário de bateria lê apenas `/sys/class/power_supply/ps-controller-battery-<mac>/` (prefixo do hid-playstation),,,A canônica dos externos registra que é BOM que não leia: leria AUSENTE no caminho Nintendo e 100% mentiroso no caminho DS4.,,,,,,,,,,
sn30.handshake_usb_baudrate_3m_no_timeout.usb,sn30,plataforma,Handshake USB + baudrate 3M + no-timeout,usb,parcial,medido,"assets/dkms/hid-nintendo/README.md:47-95 — 4 tentativas × 4000 ms falham igual, logo não é timeout",não,"assets/dkms/hid-nintendo/hid-nintendo.c:168-172, :1101-1123, :2840-2880",hidraw,"output report 0x80 com `[0]=0x80, [1]=cmd`: 0x01 status de conexão, 0x02 handshake, 0x03 baudrate 3M, 0x04 no-timeout. Ordem: (conn status) → handshake → baudrate → handshake → no-timeout",saída 0x80; resposta 0x81,,"É EXCLUSIVO do cabo (`joycon_using_usb` = `hdev->bus == BUS_USB`). O firmware clone NÃO responde ao handshake curto de 2 bytes; o driver cai no ramo 'assume ble pro controller' e o `-110` seguinte é consequência, não causa.",,,,,,,,,,"A cura é `usb_cmd_pad_to_report=1` (mandar os 64 bytes que o próprio descritor do controle declara: `85 80 09 05 75 08 95 3f 91 83`, endpoint OUT `wMaxPacketSize=0x40`)."
sn30.subir_a_probe_no_cabo_o_controle_existir_em_.usb,sn30,plataforma,Subir a probe no cabo (o controle EXISTIR em modo Switch por USB),usb,parcial,medido,"assets/dkms/hid-nintendo/README.md:47-70; instalado por install.sh (DKMS é DEFAULT, opt-out --no-dkms)",sim,assets/modprobe.d/hefesto-hid-nintendo.conf (última linha),outro,"depende de QUATRO parâmetros do módulo DKMS: `usb_cmd_pad_to_report=1`, `usb_send_conn_status=1`, `usb_probe_degrade=1` e `register_leds_on_set_failure=1` (dependência declarada: sem o último a probe morre em `joycon_leds_create`)",,,"Sem eles: `Failed to get joycon info; ret=-110` → device SEM driver nenhum (só `modalias power report_descriptor subsystem uevent`), sem hidraw, sem input, sem LED, sem bateria — e o `hid-generic` não assume porque um driver específico casou.",,,,MONTOU,,,,,,"Nesta máquina, AGORA, `hid_nintendo` não está carregado (`lsmod` vazio, `/sys/module/hid_nintendo` inexistente) — nenhum controle Nintendo conectado. O `modinfo` confirma `updates/dkms`."
sn30.identidade_quando_o_req_dev_info_n_o_respond.usb,sn30,identidade,Identidade quando o REQ_DEV_INFO não responde (endereço sintético),usb,parcial,inferido-do-codigo,,sim,assets/dkms/hid-nintendo/hid-nintendo.c:2754-2830; src/hefesto_dualsense4unix/daemon/subsystems/external_identity.py:110-148,sysfs,"com `usb_probe_degrade=1`, `joycon_synthesize_info` tira o tipo do PID e fabrica `02` + VID(2B) + PID(2B) + bus(1B) — no caso `02:05:7E:00:00:03` (mascarado; os octetos 4-5 são o PID 0x2009). Bit 'localmente administrado' ligado",,,"O Hefesto trata primeiro-octeto `02` como identidade VOLÁTIL: vale como sessão e NUNCA vai ao disco, porque é a tupla (VID, PID, bus) fantasiada de endereço — persistir gravaria uma FUSÃO de aparelhos.",,,,MONTOU,,,,,,Dois clones idênticos plugados ao mesmo tempo recebem o MESMO endereço; o próprio comentário do driver admite.
sn30.discriminar_clone_pro_genu_no.usb,sn30,plataforma,Discriminar clone × Pro genuíno,usb,sim,medido,,parcial,assets/84-nintendo-pro-variant.rules:55-68,sysfs,"`ATTR{bcdDevice}=='0200'` (clone) contra `'0210'` (genuíno) — VID, PID, serial `000000000001`, HID_NAME e MODALIAS COLIDEM. A regra 84 marca `HEFESTO_CONTROLLER_VARIANT=8bitdo-pro-clone` em usb/hid/hidraw/input e cria o symlink `/dev/hefesto/8bitdo-pro-clone`",,,A marca funciona MESMO com a probe quebrada (o nível USB/hid existe sem driver).,,,,,,,,,,"DIVERGÊNCIA: `grep -rn HEFESTO_CONTROLLER_VARIANT src/` devolve ZERO — a regra é instalada e conferida pelo doctor, e nenhum código do produto a lê. Cura escrita e nunca ligada."
sn30.discriminar_clone_pro_genu_no.bluetooth,sn30,plataforma,Discriminar clone × Pro genuíno,bluetooth,sim,medido,,sim,docs/protocol/externos-referencia-canonica.md:809-819; src/hefesto_dualsense4unix/daemon/subsystems/external_identity.py:200; scripts/bt_active_mode.sh:104-108,sysfs,"a única chave é a OUI do endereço: `e4:17:d8` = 8BitDo, `e0:f6:b5` = Nintendo. O `bcdDevice` NÃO existe por rádio; o Modalias sai `usb:v057Ep2009d0001` nos dois (o campo `d` é fixo `0001`)",,,"A OUI separa clone de genuíno, mas NÃO diz em que modo o clone está — quem separa os modos é o par nome + VID/PID mais o driver que pegou.",,,,MONTOU,,,,,,"DÍVIDA DE GRAU BAIXO: que este controle mantenha o MESMO endereço ao trocar de modo nunca foi medido; a IDENT-01 (25/07) mediu DOIS endereços, um por modo. As regras udev casam por HID_UNIQ — se o endereço muda, elas mudam de alvo sem avisar."
sn30.sniff_do_link_pol_tica_de_r_dio.bluetooth,sn30,plataforma,SNIFF do link (política de rádio),bluetooth,sim,medido,,sim,scripts/bt_active_mode.sh:75-135; assets/82-nintendo-pro-nosniff.rules:8-19,outro,"`hciconfig hci0 lp rswitch,hold,sniff,park` — o DEFAULT do adaptador é mantido COM sniff porque este controle PRECISA dele; o no-sniff (`hcitool lp <MAC> RSWITCH`) é por-link e escopado à OUI `e0:f6:b5` do Pro genuíno",,,"A/B de 23/07: com no-sniff GLOBAL este controle acumulou 4 probes falhadas e 0 sucessos, sempre `Failed to get joycon info; ret=-110`; com o sniff devolvido, probou em 54 s na primeira tentativa.",,,,MONTOU,,,,,,É a única regra da casa em que dois controles têm requisitos de firmware OPOSTOS. Este é o aparelho que o escopo por OUI existe para não matar.
sn30.retry_de_probe_por_r_dio.bluetooth,sn30,plataforma,Retry de probe por rádio,bluetooth,parcial,afirmado-no-doc,,sim,assets/modprobe.d/hefesto-hid-nintendo.conf,outro,"`bt_probe_retries=3` (laço com backoff em volta do `joycon_init`, só Bluetooth) + `sync_send_tries=4`, `input_report_wait_ms=500`, `probe_info_timeout_ms=4000`",,,"O `usb_probe_degrade` NÃO vale por rádio de propósito: lá uma falha significa link degradado, e fingir que o controle respondeu seria mentira.",,,,MONTOU,,,,,,Nunca foi medido com ESTE controle em modo Switch por rádio — não há bond dele neste adaptador desde 25/07.
sn30.modo_de_relat_rio_completo_set_report_mode_0.ambos,sn30,plataforma,Modo de relatório completo (SET_REPORT_MODE → 0x30),ambos,parcial,inferido-do-codigo,,não,"assets/dkms/hid-nintendo/hid-nintendo.c:1549, :2953-2968, :2993-2999",hidraw,"subcomando 0x03 com argumento 0x30. Se falhar (e `usb_probe_degrade` estiver ligado), o driver segue e o input só existe se o controle transmitir 0x30 espontaneamente — o parser só aceita 0x30/0x21/0x31 e exige `size >= 12`; o 0x3F (botões simples) NUNCA é tratado",saída 0x01 subcmd 0x03; entrada 0x30,,,,,,,,,,,,"Limite honesto declarado no README do DKMS e NÃO validado: 'é plausível que transmita (é o que faz o clone funcionar sob hid-generic), mas não foi validado'."
sn30.lightbar_rgb.nenhum,sn30,luz,Lightbar RGB,nenhum,não,medido,'O SN30 Pro não tem lightbar RGB' — canônica dos externos,não,"docs/protocol/externos-referencia-canonica.md:745, :1089",outro,"não existe em modo Switch: o `hid-nintendo` não registra nó RGB nenhum, e o plástico do SN30 Pro não tem barra",,,,,,,,,,,,,"Em modo PS4 (o OUTRO modo do mesmo plástico) o kernel expõe `<inputNN>:red|green|blue|global` porque o driver do DS4 os registra incondicionalmente — nós de driver, não lâmpadas do aparelho."
sn30.gatilhos_adaptativos_resist_ncia_efeito.nenhum,sn30,gatilho,Gatilhos adaptativos (resistência/efeito),nenhum,não,inferido-do-codigo,,não,assets/dkms/hid-nintendo/hid-nintendo.c:502-503,outro,o protocolo Switch não tem bloco de gatilho; os gatilhos são botões digitais,,,É recurso exclusivo do DualSense (common[10..31] do report 0x02/0x31).,,,,,,,,,,
sn30.touchpad.nenhum,sn30,toque,Touchpad,nenhum,não,inferido-do-codigo,,não,assets/dkms/hid-nintendo/hid-nintendo.c:2333-2392 (só gamepad e IMU),outro,"o aparelho não tem, e o driver não registra nó de touchpad para o tipo PRO",,,,,,,,,,,,,
sn30.microfone.nenhum,sn30,audio,Microfone,nenhum,não,inferido-do-codigo,,não,assets/dkms/hid-nintendo/hid-nintendo.c:119-155 (nenhum report/subcomando de áudio),outro,o aparelho não tem microfone; nenhum campo do protocolo Switch o prevê,,,,,,,,,,,,,
sn30.alto_falante_do_controle.nenhum,sn30,audio,Alto-falante do controle,nenhum,não,inferido-do-codigo,,não,assets/dkms/hid-nintendo/hid-nintendo.c:119-155,outro,não existe no aparelho nem no protocolo,,,,,,,,,,,,,
sn30.sa_da_de_udio_dedicada_jack_de_fone_no_contr.nenhum,sn30,audio,Saída de áudio dedicada (jack de fone no controle),nenhum,não,inferido-do-codigo,,não,assets/dkms/hid-nintendo/hid-ids.h:1068-1077 (só HID),outro,"o SN30 Pro não tem jack; por USB ele NÃO enumera interface de áudio (ao contrário do DualSense, que é placa USB Audio de 4 canais)",,,,,,,,,,,,,Não localizei nenhuma medição de descritores USB deste aparelho no repositório; a afirmação se apoia na ausência de qualquer menção a áudio no driver e nos documentos.
sn30.haptics_vcm_udio_h_ptico_pcm_nos_motores.nenhum,sn30,vibracao,Haptics VCM / áudio-háptico (PCM nos motores),nenhum,não,inferido-do-codigo,,não,assets/dkms/hid-nintendo/hid-nintendo.c:270-381,outro,"não existe: o rumble do protocolo Switch é amplitude+frequência codificadas, não fluxo PCM. Não há canal de áudio no aparelho",,,"O 'HD rumble' aqui é a tabela de frequência/amplitude, não haptics por áudio como no DualSense (canais 3-4 da placa USB).",,,,,,,,,,
sn30.nfc_amiibo_canal_mcu.ambos,sn30,plataforma,NFC / amiibo (canal MCU),ambos,desconhecido,inferido-do-codigo,,não,"assets/dkms/hid-nintendo/hid-nintendo.c:123, :138-140, :2993-2999",hidraw,"o canal existe no protocolo — saída 0x11 (`JC_OUTPUT_MCU_DATA`), entrada 0x31, subcomandos 0x20 RESET_MCU / 0x21 SET_MCU_CONFIG / 0x22 SET_MCU_STATE — e NENHUM é emitido pelo driver: o único uso do 0x31 é aceitar o relatório",saída 0x11; entrada 0x31; subcmd 0x20-0x22,,Zero suporte a NFC no kernel e zero no Hefesto.,,,,,,,,,,Se o SN30 Pro tem hardware de NFC é PERGUNTA EM ABERTO — não localizei medição nem afirmação no repositório. O Pro genuíno tem; um clone não necessariamente.
sn30.desligar_o_controle_modo_de_baixo_consumo_re.ambos,sn30,identidade,Desligar o controle / modo de baixo consumo / re-pareamento por subcomando,ambos,sim,inferido-do-codigo,,não,assets/dkms/hid-nintendo/hid-nintendo.c:128-135 (os sete construtores de subcomando não incluem nenhum deles),hidraw,"subcomandos definidos e NUNCA emitidos: 0x01 MANUAL_BT_PAIRING, 0x06 SET_HCI_STATE, 0x07 RESET_PAIRING_INFO, 0x08 LOW_POWER_MODE. Só por hidraw cru","saída 0x01, subcmd 0x01/0x06/0x07/0x08",,"Consequência: o Linux nunca desliga este controle nem mexe no pareamento dele. Se há timer de ociosidade, não vem do driver.",,,,,,,,,,
